documento,nombre,correo,semestre
10010221000,Carlos Gamboa,carlosgamboa@unal.edu.co,9
10010221001,Marta Sierra,martasierra@unal.edu.co,6
10010221002,Felipe Campos,felipecampos@unal.edu.co,10
10010221003,Sofia Guzmán,sofiaguzmán@unal.edu.co,3
10010221004,David Gutiérrez,davidgutiérrez@unal.edu.co,7
10010221005,Allison Monroy,allisonmonroy@unal.edu.co,1
10010221006,Daniela Villamil,danielavillamil@unal.edu.co,1
10010221007,Dylan González,dylangonzález@unal.edu.co,4
10010221008,Luis Jiménez,luisjiménez@unal.edu.co,1
10010221009,Santiago Quiroga,santiagoquiroga@unal.edu.co,7
10010221010,Marta Monroy,martamonroy@unal.edu.co,1
10010221011,Paola Gutiérrez,paolagutiérrez@unal.edu.co,8
10010221012,Santiago Campos,santiagocampos@unal.edu.co,4
10010221013,Jose Cortés,josecortés@unal.edu.co,6
10010221014,Juliana Quiroga,julianaquiroga@unal.edu.co,6
10010221015,John Guzmán,johnguzmán@unal.edu.co,6
10010221016,Alejandra Campos,alejandracampos@unal.edu.co,4
10010221017,Alejandro Contreras,alejandrocontreras@unal.edu.co,7
10010221018,Luisa Castro,luisacastro@unal.edu.co,4
10010221019,Sofia Forero,sofiaforero@unal.edu.co,4
